Frequency in Hz,Power in dBm
600000000.0,-76.53
601353637.9,-76.40
602707275.8,-75.27
604060913.7,-76.49
605414551.6,-75.38
606768189.5,-75.53
608121827.4,-74.38
609475465.3,-73.82
610829103.2,-74.48
612182741.1,-74.45
613536379.0,-73.79
614890016.9,-75.88
616243654.8,-75.01
617597292.7,-75.14
618950930.6,-73.98
620304568.5,-74.60
621658206.4,-74.77
623011844.3,-74.13
624365482.2,-72.97
625719120.1,-74.90
627072758.0,-74.16
628426395.9,-75.08
629780033.8,-75.59
631133671.7,-75.81
632487309.6,-76.15
633840947.5,-75.39
635194585.4,-75.62
636548223.4,-75.43
637901861.3,-75.92
639255499.2,-73.91
640609137.1,-74.91
641962775.0,-75.61
643316412.9,-75.98
644670050.8,-70.19
646023688.7,-62.18
647377326.6,-59.35
648730964.5,-60.20
650084602.4,-59.77
651438240.3,-60.16
652791878.2,-61.62
654145516.1,-69.63
655499154.0,-75.30
656852791.9,-75.93
658206429.8,-75.14
659560067.7,-75.16
660913705.6,-75.20
662267343.5,-74.41
663620981.4,-74.83
664974619.3,-75.79
666328257.2,-72.72
667681895.1,-74.60
669035533.0,-75.54
670389170.9,-76.38
671742808.8,-75.61
673096446.7,-75.89
674450084.6,-75.90
675803722.5,-76.47
677157360.4,-76.18
678510998.3,-75.94
679864636.2,-75.33
681218274.1,-75.79
682571912.0,-75.10
683925549.9,-74.86
685279187.8,-75.77
686632825.7,-75.22
687986463.6,-74.98
689340101.5,-74.71
690693739.4,-74.90
692047377.3,-75.75
693401015.2,-74.58
694754653.1,-75.97
696108291.0,-75.34
697461928.9,-73.53
698815566.8,-74.09
700169204.7,-73.99
701522842.6,-75.24
702876480.5,-74.61
704230118.4,-76.47
705583756.3,-75.54
706937394.2,-75.54
708291032.1,-74.66
709644670.1,-74.70
710998308.0,-74.85
712351945.9,-75.08
713705583.8,-75.59
715059221.7,-75.99
716412859.6,-76.28
717766497.5,-74.43
719120135.4,-75.11
720473773.3,-75.29
721827411.2,-74.79
723181049.1,-74.65
724534687.0,-75.31
725888324.9,-74.01
727241962.8,-75.49
728595600.7,-75.31
729949238.6,-76.06
731302876.5,-75.35
732656514.4,-76.22
734010152.3,-75.87
735363790.2,-74.80
736717428.1,-75.51
738071066.0,-75.21
739424703.9,-75.64
740778341.8,-74.75
742131979.7,-74.25
743485617.6,-74.63
744839255.5,-75.23
746192893.4,-74.60
747546531.3,-75.17
748900169.2,-75.70
750253807.1,-75.34
751607445.0,-74.89
752961082.9,-73.98
754314720.8,-75.10
755668358.7,-75.06
757021996.6,-75.08
758375634.5,-72.88
759729272.4,-74.71
761082910.3,-75.81
762436548.2,-73.86
763790186.1,-75.14
765143824.0,-74.43
766497461.9,-73.97
767851099.8,-67.16
769204737.7,-63.09
770558375.6,-61.81
771912013.5,-65.30
773265651.4,-63.71
774619289.3,-63.16
775972927.2,-61.08
777326565.1,-52.37
778680203.0,-49.43
780033840.9,-49.11
781387478.8,-48.72
782741116.8,-50.23
784094754.7,-48.61
785448392.6,-47.18
786802030.5,-49.68
788155668.4,-55.44
789509306.3,-67.78
790862944.2,-58.71
792216582.1,-52.56
793570220.0,-52.91
794923857.9,-53.15
796277495.8,-54.32
797631133.7,-51.57
798984771.6,-49.36
800338409.5,-50.10
801692047.4,-55.25
803045685.3,-53.82
804399323.2,-53.83
805752961.1,-52.27
807106599.0,-54.23
808460236.9,-54.64
809813874.8,-55.94
811167512.7,-49.32
812521150.6,-46.70
813874788.5,-45.42
815228426.4,-47.63
816582064.3,-46.84
817935702.2,-46.58
819289340.1,-46.57
820642978.0,-54.31
821996615.9,-63.31
823350253.8,-72.31
824703891.7,-74.94
826057529.6,-74.55
827411167.5,-75.29
828764805.4,-74.69
830118443.3,-74.58
831472081.2,-75.68
832825719.1,-75.25
834179357.0,-74.88
835532994.9,-75.19
836886632.8,-73.81
838240270.7,-73.61
839593908.6,-73.16
840947546.5,-74.14
842301184.4,-74.39
843654822.3,-74.58
845008460.2,-75.09
846362098.1,-73.87
847715736.0,-73.69
849069373.9,-75.03
850423011.8,-75.40
851776649.7,-75.23
853130287.6,-73.29
854483925.5,-73.74
855837563.5,-73.75
857191201.4,-74.94
858544839.3,-73.04
859898477.2,-76.10
861252115.1,-74.60
862605753.0,-74.42
863959390.9,-74.57
865313028.8,-71.78
866666666.7,-72.55
868020304.6,-73.63
869373942.5,-74.35
870727580.4,-75.36
872081218.3,-75.57
873434856.2,-73.53
874788494.1,-70.34
876142132.0,-74.43
877495769.9,-73.67
878849407.8,-74.47
880203045.7,-74.99
881556683.6,-75.81
882910321.5,-75.17
884263959.4,-73.72
885617597.3,-75.03
886971235.2,-75.67
888324873.1,-75.26
889678511.0,-74.91
891032148.9,-75.60
892385786.8,-74.43
893739424.7,-75.05
895093062.6,-76.15
896446700.5,-75.05
897800338.4,-75.54
899153976.3,-75.39
900507614.2,-76.29
901861252.1,-74.44
903214890.0,-49.82
904568527.9,-17.79
905922165.8,-11.85
907275803.7,-12.68
908629441.6,-24.23
