Frequency in Hz,Power in dBm
600000000.0,-75.81
601353637.9,-75.82
602707275.8,-75.31
604060913.7,-75.35
605414551.6,-76.31
606768189.5,-75.66
608121827.4,-76.57
609475465.3,-76.00
610829103.2,-75.21
612182741.1,-75.79
613536379.0,-74.57
614890016.9,-75.07
616243654.8,-75.44
617597292.7,-74.19
618950930.6,-75.44
620304568.5,-75.40
621658206.4,-75.29
623011844.3,-73.19
624365482.2,-74.94
625719120.1,-74.75
627072758.0,-75.57
628426395.9,-74.21
629780033.8,-75.92
631133671.7,-73.22
632487309.6,-75.15
633840947.5,-74.74
635194585.4,-74.57
636548223.4,-75.05
637901861.3,-73.69
639255499.2,-73.89
640609137.1,-73.12
641962775.0,-74.70
643316412.9,-73.31
644670050.8,-65.09
646023688.7,-62.97
647377326.6,-61.32
648730964.5,-64.40
650084602.4,-64.32
651438240.3,-65.76
652791878.2,-65.96
654145516.1,-70.86
655499154.0,-74.76
656852791.9,-74.12
658206429.8,-75.87
659560067.7,-74.36
660913705.6,-74.55
662267343.5,-75.24
663620981.4,-74.21
664974619.3,-74.49
666328257.2,-74.61
667681895.1,-76.07
669035533.0,-75.11
670389170.9,-75.26
671742808.8,-74.57
673096446.7,-76.69
674450084.6,-76.21
675803722.5,-75.30
677157360.4,-75.39
678510998.3,-75.12
679864636.2,-74.13
681218274.1,-74.33
682571912.0,-73.96
683925549.9,-74.74
685279187.8,-74.77
686632825.7,-74.70
687986463.6,-75.44
689340101.5,-74.91
690693739.4,-73.81
692047377.3,-73.02
693401015.2,-73.89
694754653.1,-74.95
696108291.0,-75.10
697461928.9,-75.03
698815566.8,-75.12
700169204.7,-75.00
701522842.6,-75.02
702876480.5,-74.47
704230118.4,-73.87
705583756.3,-73.53
706937394.2,-74.46
708291032.1,-75.17
709644670.1,-74.71
710998308.0,-75.01
712351945.9,-75.16
713705583.8,-74.83
715059221.7,-73.47
716412859.6,-75.09
717766497.5,-73.36
719120135.4,-75.45
720473773.3,-74.46
721827411.2,-74.38
723181049.1,-74.07
724534687.0,-74.84
725888324.9,-74.64
727241962.8,-73.46
728595600.7,-75.24
729949238.6,-75.27
731302876.5,-74.85
732656514.4,-73.89
734010152.3,-75.34
735363790.2,-75.78
736717428.1,-75.09
738071066.0,-75.17
739424703.9,-74.33
740778341.8,-75.34
742131979.7,-74.87
743485617.6,-73.92
744839255.5,-73.68
746192893.4,-74.30
747546531.3,-75.27
748900169.2,-75.34
750253807.1,-75.66
751607445.0,-75.35
752961082.9,-74.38
754314720.8,-74.31
755668358.7,-72.47
757021996.6,-74.84
758375634.5,-73.51
759729272.4,-74.32
761082910.3,-74.21
762436548.2,-75.09
763790186.1,-74.88
765143824.0,-74.98
766497461.9,-70.05
767851099.8,-59.57
769204737.7,-57.13
770558375.6,-57.04
771912013.5,-58.41
773265651.4,-61.53
774619289.3,-60.63
775972927.2,-61.58
777326565.1,-46.52
778680203.0,-42.58
780033840.9,-42.91
781387478.8,-43.63
782741116.8,-44.53
784094754.7,-45.71
785448392.6,-46.03
786802030.5,-47.67
788155668.4,-54.50
789509306.3,-63.72
790862944.2,-49.41
792216582.1,-47.66
793570220.0,-51.29
794923857.9,-52.06
796277495.8,-52.74
797631133.7,-53.72
798984771.6,-50.80
800338409.5,-53.06
801692047.4,-48.41
803045685.3,-49.53
804399323.2,-51.65
805752961.1,-50.46
807106599.0,-51.24
808460236.9,-51.15
809813874.8,-51.30
811167512.7,-52.02
812521150.6,-48.12
813874788.5,-48.34
815228426.4,-47.87
816582064.3,-47.09
817935702.2,-46.37
819289340.1,-47.54
820642978.0,-51.04
821996615.9,-62.13
823350253.8,-69.29
824703891.7,-74.57
826057529.6,-74.36
827411167.5,-73.92
828764805.4,-74.01
830118443.3,-74.46
831472081.2,-74.33
832825719.1,-73.37
834179357.0,-74.36
835532994.9,-74.12
836886632.8,-74.48
838240270.7,-74.54
839593908.6,-74.18
840947546.5,-74.00
842301184.4,-75.01
843654822.3,-74.52
845008460.2,-73.56
846362098.1,-72.48
847715736.0,-73.75
849069373.9,-73.50
850423011.8,-74.42
851776649.7,-75.47
853130287.6,-74.37
854483925.5,-74.40
855837563.5,-74.18
857191201.4,-75.86
858544839.3,-73.42
859898477.2,-72.66
861252115.1,-75.49
862605753.0,-74.16
863959390.9,-72.42
865313028.8,-69.76
866666666.7,-70.90
868020304.6,-72.63
869373942.5,-73.61
870727580.4,-74.84
872081218.3,-74.44
873434856.2,-74.34
874788494.1,-73.62
876142132.0,-74.65
877495769.9,-74.48
878849407.8,-74.42
880203045.7,-74.64
881556683.6,-75.45
882910321.5,-74.04
884263959.4,-75.03
885617597.3,-74.60
886971235.2,-74.85
888324873.1,-74.19
889678511.0,-74.21
891032148.9,-72.80
892385786.8,-75.28
893739424.7,-74.48
895093062.6,-73.30
896446700.5,-75.50
897800338.4,-76.08
899153976.3,-74.68
900507614.2,-74.38
901861252.1,-74.90
903214890.0,-55.46
904568527.9,-23.39
905922165.8,-17.23
907275803.7,-18.77
908629441.6,-28.66
909983079.5,-37.92
911336717.4,-64.88
912690355.3,-74.35
914043993.2,-75.94
915397631.1,-74.51
916751269.0,-74.87
918104906.9,-75.00
919458544.8,-73.92
920812182.7,-74.42
922165820.6,-73.83
923519458.5,-72.64
924873096.4,-61.13
926226734.3,-58.34
927580372.3,-59.12
928934010.2,-57.71
930287648.1,-49.17
931641286.0,-47.90
932994923.9,-47.50
934348561.8,-48.98
935702199.7,-49.26
937055837.6,-46.42
938409475.5,-48.64
939763113.4,-52.53
941116751.3,-57.46
942470389.2,-56.57
943824027.1,-55.82
945177665.0,-53.90
946531302.9,-57.29
947884940.8,-53.29
949238578.7,-54.39
950592216.6,-56.27
951945854.5,-55.80
953299492.4,-59.44
954653130.3,-61.87
956006768.2,-67.14
957360406.1,-66.76
958714044.0,-68.33
960067681.9,-70.97
961421319.8,-74.56
962774957.7,-75.20
964128595.6,-75.13
965482233.5,-75.08
966835871.4,-75.53
968189509.3,-75.03
969543147.2,-75.43
970896785.1,-74.85
972250423.0,-73.45
973604060.9,-74.85
974957698.8,-75.15
976311336.7,-75.21
977664974.6,-75.96
979018612.5,-74.78
980372250.4,-75.48
981725888.3,-75.05
983079526.2,-74.13
984433164.1,-76.49
985786802.0,-76.15
987140439.9,-75.13
988494077.8,-75.99
989847715.7,-75.38
991201353.6,-74.82
992554991.5,-75.57
993908629.4,-76.32
995262267.3,-74.79
996615905.2,-76.01
997969543.1,-75.68
999323181.0,-75.65
1000676819.0,-76.25
1002030456.9,-75.71
1003384094.8,-76.77
1004737732.7,-76.60
1006091370.6,-76.88
1007445008.5,-76.12
1008798646.4,-76.54
1010152284.3,-77.21
1011505922.2,-77.67
1012859560.1,-76.94
1014213198.0,-77.26
1015566835.9,-75.89
1016920473.8,-76.47
1018274111.7,-76.76
1019627749.6,-76.34
1020981387.5,-75.72
1022335025.4,-75.15
1023688663.3,-77.41
1025042301.2,-77.14
1026395939.1,-76.31
1027749577.0,-76.21
1029103214.9,-76.46
1030456852.8,-75.45
1031810490.7,-76.12
1033164128.6,-76.18
1034517766.5,-76.92
1035871404.4,-76.11
